"Part";"Value";"Device";"Package";"Description";"CAPACITANCETOLERANCE";"MPN";"PROD_ID";"SUPPLIER";"VALUE";"VOLTAGERATING";
"B1";"";"SSSS810701";"SSSS810701";"";"";"";"";"";"";"";
"C1";"22UF";"F931V226MNC";"CAPCP7343X430N";"Tantalum Capacitor , 2917";"±20%";"F931V226MNC";"";"AVX";"22UF";"35V";
"C2";"1nf - C0805C102K5RACTU";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C3";"100pf - C0805C101J5GACTU";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C4";"100UF";"6TPC100M";"CAPCP7343X430N";"Poly Capacitor , 2917";"±20%";"6TPC100M";"";"PANASONIC";"100UF";"6.3V";
"C5";"1µF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C6";"12pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C7";"";"CPOL-USE5-10.5";"E5-10,5";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";
"C8";"12pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";
"D1";"MBRS130T3";"DIODE-DO214AA";"DO214AA";"DIODE";"";"";"";"";"";"";
"I1";"SRN4018-220M";"SRN4018-220M";"SRN4018-220M";"FIXED IND 22UH 900MA 348 MOHM SRN4018-220M";"";"";"";"";"";"";
"IC1";"LM3485";"LM3485";"MSOP08";"Hysteretic PFET Buck Controller";"";"";"";"";"";"";
"JP1";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";
"JP2";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";
"JP3";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";
"LSP1";"LSP11";"LSP11";"LSP11";"SOLDER PAD";"";"";"";"";"";"";
"LSP2";"LSP11";"LSP11";"LSP11";"SOLDER PAD";"";"";"";"";"";"";
"Q1";"BC817-40,215";"TRANSISTOR_NPN";"SOT23-R";"NPN Transistor";"";"";"";"";"";"";
"R1";"24K - MCR10EZHF2402";"R-US_R0805W";"R0805W";"RESISTOR, American symbol";"";"";"";"";"";"";
"R2";"33K - MCR10EZHF3302";"R-US_R0805W";"R0805W";"RESISTOR, American symbol";"";"";"";"";"";"";
"R3";"20K - MCR10EZHF2002";"R-US_R0805W";"R0805W";"RESISTOR, American symbol";"";"";"";"";"";"";
"R5";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R7";"5.6";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R10";"5.6";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R11";"68";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R12";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"RGB";"5MMRGBLED";"5MMRGBLED";"LED5MMRGB";"";"";"";"";"";"";"";
"U2";"";"FDC5614PSOT-23";"SOT23-6";"Fairchild P-channel MOSFET";"";"";"";"";"";"";
"U3";"";"NRF51822_MODULE_MDBT40";"BLE_MODULE_RAYTAC_MDBT40";"nRF51822 Bluetooth Low Energy Module";"";"";"";"";"";"";
"Y1";"";"CRYSTAL8X3.8SMT";"CRYSTAL_8X3.8";"Crystals";"";"";"";"";"";"";
